LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,MSEStmHz,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
128,200817,3,1,46,30,50,2,0,0,1,20,400,0,0,0,0,0,0.542,NaN,,1,1
128,200817,3,1,76,30,50,2,0,1,1,8,400,1,4,0,1.164,61,45,NaN,,1,1
128,200817,3,1,107,0,50,2,0,0,1,8,400,0,0,0,0,0,0,NaN,,1,1
128,200817,3,1,130,30,50,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
128,200817,3,1,141,0,50,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
128,200817,3,1,151,0,50,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
128,200817,3,1,161,0,50,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
129,200817,2,1,3,30,10,2,0,0,1,20,400,0,1,0,0,0,0,NaN,,1,1
129,200817,2,1,33,30,10,2,0,1,1,20,400,1,5,0,0,47,33,NaN,,1,1
129,200817,2,1,64,30,10,2,0,0,1,8,400,0,1,0,0,0,0,NaN,,1,1
129,200817,2,1,82,30,10,2,0,1,1,8,400,1,5,0,0,44,34,NaN,,1,1
129,200817,2,1,116,30,10,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
129,200817,2,1,130,30,10,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
129,200817,2,1,141,30,10,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
129,200817,2,1,151,30,10,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
130,200817,2,1,3,30,20,2,0,1,1,20,400,0,1,12,0,93,41,NaN,,1,1
130,200817,2,1,33,30,20,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
130,200817,2,1,64,30,25,2,0,1,1,8,400,0,1,4,0,0,0,NaN,,0,0
130,200817,2,1,82,30,25,2,0,0,1,8,400,0,0,0,0,0,0,NaN,,0,0
130,200817,2,1,116,30,25,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
130,200817,2,1,130,30,25,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
130,200817,2,1,141,30,25,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
130,200817,2,1,151,30,25,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
127,200819,2,1,3,30,20,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
127,200819,2,1,13,30,20,2,0,1,1,1,400,0,0,0,1.882,0,0,NaN,,0,0
127,200819,2,1,24,0,20,2,0,0,1,8,400,0,0,0,0,0,0,NaN,,1,1
127,200819,2,1,34,0,20,2,0,1,1,8,400,1,1,0,0,1,1,NaN,,1,1
127,200819,2,1,64,0,20,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
127,200819,2,1,94,0,20,2,0,1,1,20,400,1,1,0,0,7,0,NaN,,1,1
127,200819,2,1,124,0,20,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
127,200819,2,1,154,0,20,2,0,1,1,20,400,1,1,0,0,42,26,NaN,,1,1
128,200819,2,1,3,30,50,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
128,200819,2,1,13,30,50,2,0,0,1,1,400,0,0,0,0,0,0,NaN,,0,0
128,200819,2,1,24,0,50,2,0,1,1,8,400,0,0,0,0,0,0,NaN,,0,0
128,200819,2,1,34,0,50,2,0,0,1,8,400,0,0,0,0,0,0,NaN,,0,0
128,200819,2,1,64,0,50,2,0,1,1,20,400,1,4,6,0,0,0,NaN,,0,0
128,200819,2,1,94,0,50,2,0,0,1,20,400,0,0,0,0,0,1.844,NaN,,0,0
128,200819,2,1,124,0,50,2,0,1,1,20,400,1,5,5,0,0,0,NaN,,0,0
128,200819,2,1,154,0,50,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,0,0
129,200819,3,1,2,30,10,2,0,0,1,1,400,0,0,0,0,0,1.52,NaN,,0,0
129,200819,3,1,12,30,10,2,0,1,1,1,400,0,0,0,0,0,0,NaN,,0,0
129,200819,3,1,22,30,10,2,0,0,1,8,400,0,0,0,0,0,0,NaN,,0,0
129,200819,3,1,33,0,10,2,0,1,1,8,400,0,1,0,0,0,0,NaN,,0,0
129,200819,3,1,43,30,10,2,0,0,1,20,400,0,0,0,0,0,0,NaN,,1,1
