LTR,Date,ExpNo1,ExpNo2,Num,RS,WDS
94,180808,1,1,35,5,0
94,180808,1,1,36,5,0
93,180813,1,1,37,1,0
93,180813,1,1,38,1,2
93,180813,1,1,39,4,2
93,180813,1,1,40,4,1
93,180813,1,1,41,4,0
93,180813,1,1,42,4,0
94,180813,1,1,37,2,2
94,180813,1,1,38,5,1
94,180813,1,1,39,4,2
94,180813,1,1,40,5,0
94,180813,1,1,41,5,0
94,180813,1,1,42,5,0
93,180814,1,1,43,5,0
93,180814,1,1,44,5,0
93,180814,1,1,45,4,0
93,180814,1,1,46,5,0
93,180814,1,1,47,1,0
93,180814,1,1,48,5,0
94,180814,1,1,43,5,0
94,180814,1,1,44,5,0
94,180814,1,1,45,5,0
94,180814,1,1,46,5,0
94,180814,1,1,47,5,0
94,180814,1,1,48,5,0
93,180815,1,1,49,5,0
93,180815,1,1,50,5,0
93,180815,1,1,51,5,0
93,180815,1,1,52,4,0
93,180815,1,1,53,5,0
93,180815,1,1,54,5,0
94,180815,1,1,49,5,0
94,180815,1,1,50,5,0
94,180815,1,1,51,5,0
94,180815,1,1,52,5,0
94,180815,1,1,53,5,0
94,180815,1,1,54,5,0
93,180816,1,1,55,5,1
93,180816,1,1,56,5,2
93,180816,1,1,57,5,1
93,180816,1,1,58,5,5
93,180816,1,1,59,5,0
93,180816,1,1,60,5,6
94,180816,1,1,55,5,0
94,180816,1,1,56,5,5
94,180816,1,1,57,5,1
94,180816,1,1,58,5,1
94,180816,1,1,59,5,0
94,180816,1,1,60,5,0
99,180820,1,1,1,1,0
99,180820,1,1,2,1,0
99,180820,1,1,3,1,0
99,180820,1,1,4,1,0
99,180820,1,1,5,1,0
99,180820,1,1,6,2,0
100,180820,1,1,1,1,3
100,180820,1,1,2,1,2
100,180820,1,1,3,1,5
100,180820,1,1,4,2,0
100,180820,1,1,5,1,5
100,180820,1,1,6,1,5
99,180821,1,1,7,2,0
99,180821,1,1,8,1,0
99,180821,1,1,9,1,0
99,180821,1,1,10,1,0
99,180821,1,1,11,1,0
99,180821,1,1,12,1,0
100,180821,1,1,7,1,4
100,180821,1,1,8,1,3
100,180821,1,1,9,1,6
100,180821,1,1,10,1,9
100,180821,1,1,11,2,4
100,180821,1,1,12,1,3
99,180822,1,1,13,2,2
99,180822,1,1,14,1,0
99,180822,1,1,15,3,0
99,180822,1,1,16,0,0
99,180822,1,1,17,2,0
99,180822,1,1,18,0,0
100,180822,1,1,13,1,2
100,180822,1,1,14,1,3
100,180822,1,1,15,1,4
100,180822,1,1,16,2,2
100,180822,1,1,17,1,3
100,180822,1,1,18,2,4
99,180823,1,1,19,1,0
99,180823,1,1,20,1,0
99,180823,1,1,21,1,0
99,180823,1,1,22,5,0
99,180823,1,1,23,0,0
99,180823,1,1,24,5,0
100,180823,1,1,19,1,2
100,180823,1,1,20,1,3
100,180823,1,1,21,2,5
100,180823,1,1,22,1,6
100,180823,1,1,23,2,5
100,180823,1,1,24,2,5
99,180824,1,1,25,1,0
99,180824,1,1,26,1,0
99,180824,1,1,27,5,0
99,180824,1,1,28,1,0
99,180824,1,1,29,1,0
99,180824,1,1,30,5,0
100,180824,1,1,25,3,2
100,180824,1,1,26,1,3
100,180824,1,1,27,4,0
100,180824,1,1,28,1,0
100,180824,1,1,29,1,4
100,180824,1,1,30,1,2
99,180827,1,1,31,1,0
99,180827,1,1,32,4,0
99,180827,1,1,33,5,0
99,180827,1,1,34,1,0
99,180827,1,1,35,5,0
99,180827,1,1,36,5,0
100,180827,1,1,31,5,0
100,180827,1,1,32,4,0
100,180827,1,1,33,1,0
100,180827,1,1,34,1,2
100,180827,1,1,35,1,3
100,180827,1,1,36,5,0
99,180828,1,1,37,5,0
99,180828,1,1,38,1,0
99,180828,1,1,39,1,1
99,180828,1,1,40,5,0
99,180828,1,1,41,5,0
99,180829,1,1,42,5,0
100,180828,1,1,37,5,0
100,180828,1,1,38,5,0
100,180828,1,1,39,1,0
100,180828,1,1,40,1,0
100,180828,1,1,41,5,0
100,180828,1,1,42,2,0
99,180829,1,1,43,1,0
99,180829,1,1,44,5,0
99,180829,1,1,45,1,0
99,180829,1,1,46,4,0
99,180829,1,1,47,5,0
99,180830,1,1,48,5,0
100,180829,1,1,43,2,0
100,180829,1,1,44,3,0
100,180829,1,1,45,5,0
100,180829,1,1,46,5,0
100,180829,1,1,47,4,0
100,180829,1,1,48,5,0
99,180830,1,1,49,0,0
99,180830,1,1,50,5,1
99,180830,1,1,51,5,0
99,180830,1,1,52,5,0
99,180830,1,1,53,5,0
99,180830,1,1,54,5,0
100,180830,1,1,49,2,1
100,180830,1,1,50,5,1
100,180830,1,1,51,5,3
100,180830,1,1,52,3,0
100,180830,1,1,53,1,2
100,180830,1,1,54,5,0
99,180831,1,1,55,5,0
99,180831,1,1,56,5,0
99,180831,1,1,57,5,0
99,180831,1,1,58,5,0
99,180831,1,1,59,5,0
99,180831,1,1,60,5,0
100,180831,1,1,55,5,3
100,180831,1,1,56,5,2
100,180831,1,1,57,5,2
100,180831,1,1,58,5,0
100,180831,1,1,59,5,0
100,180831,1,1,60,5,0
82,181112,1,1,1,1,1
82,181112,1,1,2,0,6
82,181112,1,1,3,0,5
82,181112,1,1,4,0,5
82,181112,1,1,5,1,6
